DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
BIRBHUM,26.0,101.0,154.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,284,Peaceful Area
BISHNUPUR,5.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Peaceful Area
BIZAPUR,7.0,19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62,Peaceful Area
BKP CP,2.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,22,Peaceful Area
BOKARO,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,Peaceful Area
BOLANGIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BONGAIGAON,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Peaceful Area
BORDER,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,Peaceful Area
BORDER DISTRICT,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Peaceful Area
BOUDH,3.0,11.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55,Peaceful Area
BUDGAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BULANDSHAHAR,170.0,115.0,262.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,697,Sensitive Area
BULDHANA,79.0,162.0,160.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,716,Sensitive Area
BUNDI,17.0,74.0,80.0,3.0,0.0,26.0,0.0,0.0,3.0,3.0,208,Peaceful Area
BURDWAN,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,15,Peaceful Area
BURHANPUR,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Peaceful Area
BUXAR,17.0,10.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,Peaceful Area
C.I.D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CACHAR,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Peaceful Area
CAR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
CAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CBCID,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Peaceful Area
CBPURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,Peaceful Area
CENTRAL,15.0,121.0,752.0,0.0,0.0,29.0,4.0,0.0,8.0,0.0,1030,Sensitive Area
CHAIBASA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
CHAMARAJNAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
CHAMBA,9.0,32.0,62.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,123,Peaceful Area
CHAMOLI,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Peaceful Area
CHAMPAWAT,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
CHAMPHAI,5.0,55.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87,Peaceful Area
CHANDEL,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Peaceful Area
CHANDIGARH,20.0,152.0,385.0,0.0,2.0,108.0,0.0,0.0,0.0,2.0,753,Sensitive Area
CHANDOLI,23.0,38.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,173,Peaceful Area
CHANDRAPUR,54.0,309.0,183.0,2.0,4.0,15.0,0.0,0.0,0.0,9.0,871,Sensitive Area
CHANGLANG,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Peaceful Area
CHATRA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
CHENGAI,11.0,33.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,62,Peaceful Area
CHENNAI,51.0,210.0,194.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,474,Peaceful Area
CHENNAI RLY.,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12,Peaceful Area
CHENNAISUBURBAN,19.0,34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,Peaceful Area
CHHATARPUR,17.0,271.0,103.0,1.0,12.0,2.0,0.0,0.0,0.0,1.0,1420,Sensitive Area
CHHINDWARA,5.0,114.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,587,Peaceful Area
CHICKMAGALUR,28.0,48.0,33.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,140,Peaceful Area
CHIRANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CHITRADURGA,19.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70,Peaceful Area
CHITRAKOOT DHAM,29.0,58.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,Peaceful Area
CHITTOOR,49.0,123.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,Peaceful Area
CHITTORGARH,17.0,90.0,18.0,10.0,0.0,36.0,0.0,0.0,0.0,8.0,179,Peaceful Area
CHURACHANDPUR,6.0,15.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,Peaceful Area
CHURU,9.0,131.0,86.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,231,Peaceful Area
CID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CID CRIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
COIMBATORE RURAL,21.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,Peaceful Area
COIMBATORE URBAN,10.0,67.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,124,Peaceful Area
COOCHBEHAR,1.0,4.0,14.0,0.0,0.0,0.0,50.0,2.0,9.0,3.0,84,Peaceful Area
CP AMRITSAR,16.0,27.0,115.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,173,Peaceful Area
CP JALANDHAR,5.0,4.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56,Peaceful Area
CP LUDHIANA,16.0,103.0,251.0,3.0,0.0,42.0,0.0,0.0,1.0,0.0,424,Peaceful Area
CRIME BRANCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CRIME JAMMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
CRIME KASHMIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CRIME SRINAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
CSM NAGAR,1.0,47.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,Peaceful Area
CUDDALORE,20.0,62.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141,Peaceful Area
CUDDAPAH,41.0,192.0,335.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,574,Sensitive Area
CUTTACK,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Peaceful Area
CYBERABAD,35.0,66.0,67.0,0.0,7.0,8.0,23.0,0.0,1.0,5.0,296,Peaceful Area
D and N HAVELI,11.0,16.0,71.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,103,Peaceful Area
DAHOD,11.0,19.0,124.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,274,Peaceful Area
DAKSHIN DINAJPUR,9.0,69.0,208.0,0.0,6.0,0.0,57.0,0.0,6.0,4.0,451,Peaceful Area
DAKSHIN KANNADA,19.0,34.0,29.0,5.0,1.0,15.0,0.0,0.0,0.0,1.0,185,Peaceful Area
DAMAN,3.0,12.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34,Peaceful Area
DAMOH,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Peaceful Area
DANTEWADA,3.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Peaceful Area
DANTEWARA,9.0,31.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,Peaceful Area
DARBHANGA,23.0,18.0,239.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,310,Peaceful Area
DARJEELING,0.0,0.0,12.0,0.0,0.0,4.0,57.0,1.0,10.0,2.0,87,Peaceful Area
DARRANG,4.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Peaceful Area
DATIYA,35.0,106.0,96.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,679,Peaceful Area
DAUSA,8.0,38.0,170.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,226,Peaceful Area
DAVANAGERE,10.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35,Peaceful Area
DCP BBSR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Peaceful Area
DCP CTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Peaceful Area
DEHRADUN,18.0,59.0,134.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,232,Peaceful Area
DEOGARH,5.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33,Peaceful Area
DEOGHAR,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
DEORIA,51.0,57.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,Peaceful Area
DEWAS,20.0,209.0,65.0,3.0,3.0,22.0,0.0,0.0,0.0,1.0,570,Sensitive Area
DHALAI,12.0,53.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,122,Peaceful Area
DHAMTARI,12.0,147.0,51.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,510,Peaceful Area
DHANBAD,5.0,44.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,Peaceful Area
DHANBAD RLY.,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
DHAR,30.0,262.0,158.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,521,Sensitive Area
DHARMAPURI,22.0,45.0,169.0,0.0,1.0,0.0,13.0,0.0,0.0,3.0,283,Peaceful Area
DHARWAD COMMR.,17.0,21.0,74.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,164,Sensitive Area
DHARWAD RURAL,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,11,Peaceful Area
DHEMAJI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
DHENKANAL,5.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,Peaceful Area
DHOLPUR,28.0,56.0,121.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,239,Peaceful Area
DHUBRI,7.0,185.0,15.0,0.0,0.0,0.0,340.0,0.0,4.0,5.0,562,Moderate Area
DHULE,19.0,40.0,31.0,1.0,1.0,66.0,10.0,0.0,0.0,0.0,205,Peaceful Area
DIBANG VALLEY,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Peaceful Area
DIBRUGARH,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Peaceful Area
DIMAPUR,7.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,Peaceful Area
DINDIGUL,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Peaceful Area
DINDORI,21.0,137.0,15.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,268,Peaceful Area
DIU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
DODA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
DRP,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3,Peaceful Area
DUMKA,10.0,14.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,126,Peaceful Area
DUNGARPUR,19.0,90.0,134.0,6.0,0.0,38.0,6.0,0.0,0.0,0.0,295,Peaceful Area
DURG,59.0,519.0,256.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,2767,Sensitive Area
EAST,72.0,397.0,2010.0,8.0,2.0,90.0,4.0,9.0,2.0,1.0,2778,Sensitive Area
EAST GODAVARI,7.0,89.0,59.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,213,Peaceful Area
EOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
ERNAKULAM,11.0,8.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,33,Peaceful Area
ERNAKULAM COMMR.,6.0,83.0,21.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,285,Peaceful Area
ERNAKULAM RURAL,16.0,100.0,30.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,269,Peaceful Area
ERODE,19.0,68.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,180,Peaceful Area
ETAH,138.0,96.0,294.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,573,Sensitive Area
ETAWAH,59.0,43.0,308.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,427,Peaceful Area
FAIZABAD,60.0,100.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,Peaceful Area
FARIDABAD,80.0,171.0,369.0,37.0,0.0,2.0,0.0,0.0,1.0,0.0,910,Sensitive Area
FARIDKOT,1.0,8.0,19.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,36,Peaceful Area
FATEHABAD,19.0,26.0,56.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,143,Peaceful Area
FATEHGARH,51.0,57.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,Peaceful Area
FATEHGARH SAHIB,1.0,16.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42,Peaceful Area
